Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,166,13,▲,90,50
New Hampshire,165,13,▲,89,51
Virginia,165,12,▲,84,50
Vermont,163,10,▲,85,48
Nebraska,162,9,▲,84,47
Massachusetts,161,9,▲,83,47
Wyoming,161,9,▲,86,45
North Dakota,161,8,▲,85,45
Kentucky,160,7,▲,83,44
Utah,160,7,▲,82,45
Montana,159,6,▲,83,43
Iowa,159,6,▲,83,42
Indiana,159,6,▲,83,42
Florida,158,5,▲,81,42
Maine,158,5,▲,84,39
Washington,158,5,▲,79,42
Minnesota,157,5,▲,80,43
Ohio,157,5,▲,81,41
South Dakota,157,4,▲,81,40
Tennessee,157,4,▲,79,41
Wisconsin,156,4,▲,79,41
Idaho,156,3,▲,81,39
South Carolina,155,3,▲,76,40
Missouri,155,2,♦,78,39
New Jersey,155,2,♦,76,39
Texas,155,2,♦,76,39
Connecticut,154,2,♦,77,38
Kansas,154,2,♦,77,37
Michigan,154,1,♦,77,38
North Carolina,154,1,♦,76,36
Oklahoma,153,1,♦,79,34
Oregon,153,1,♦,75,37
National public,153,†,,75,37
Maryland,153,#,♦,73,37
Rhode Island,152,#,♦,76,36
Georgia,152,-1,♦,74,35
Illinois,151,-2,♦,73,35
West Virginia,151,-2,♦,75,31
Delaware,150,-2,▼,74,33
Arkansas,150,-2,♦,73,33
New York,150,-3,▼,72,33
Arizona,149,-4,▼,71,33
Hawaii,146,-7,▼,69,30
Alabama,145,-8,▼,68,28
New Mexico,143,-10,▼,65,25
Nevada,142,-11,▼,65,24
Mississippi,140,-12,▼,62,23
California,140,-12,▼,63,24
Puerto Rico,—,†,,—,—
Pennsylvania,—,†,,—,—
Louisiana,—,†,,—,—
District of Columbia,—,†,,—,—
Colorado,—,†,,—,—
Alaska,—,†,,—,—
