"","Jurisdiction","Reading_4","Reading_8","Reading_12","Math_4","Math_8","Math_12","Science_4","Science_8","Rank","Income_2015"
"1","Alabama",217,259,NA,232,267,NA,145,141,47,44765
"2","Alaska",213,260,NA,230,280,NA,NA,NA,3,73355
"3","Arizona",215,263,NA,234,283,NA,149,148,31,51492
"4","Arkansas",218,259,285,234,275,150,150,148,49,41995
"5","California",213,259,NA,232,275,NA,140,143,9,64500
"6","Colorado",224,268,NA,241,286,NA,NA,NA,11,63909
"7","Connecticut",229,273,299,239,284,160,154,155,5,71346
"8","Delaware",224,263,NA,236,280,NA,150,149,14,61255
"9","Florida",227,263,286,246,275,149,158,153,38,49426
"10","Georgia",222,262,NA,236,279,NA,152,152,32,51244
"11","Hawaii",215,257,NA,238,279,NA,146,144,2,73486
"12","Idaho",222,269,292,240,284,156,156,160,40,48275
"13","Illinois",222,267,289,238,282,154,151,150,18,59588
"14","Indiana",227,268,NA,247,287,NA,159,156,35,50532
"15","Iowa",224,268,291,243,286,156,159,159,25,54736
"16","Kansas",221,267,NA,241,284,NA,154,155,27,53906
"17","Kentucky",228,268,NA,239,278,NA,160,157,46,45215
"18","Louisiana",216,255,NA,229,268,NA,NA,NA,44,45727
"19","Maine",224,268,NA,240,285,NA,158,160,30,51494
"20","Maryland",223,268,NA,241,283,NA,153,155,1,75847
"21","Massachusetts",235,274,293,249,297,161,161,162,6,70628
"22","Michigan",216,264,288,236,278,154,154,155,33,51084
"23","Minnesota",223,270,NA,249,294,NA,157,162,12,63488
"24","Mississippi",214,252,NA,235,271,NA,140,140,50,40593
"25","Missouri",223,267,NA,240,281,NA,155,159,36,50238
"26","Montana",225,270,NA,241,287,NA,159,161,37,49509
"27","Nebraska",227,269,NA,246,286,NA,162,160,24,54996
"28","Nevada",214,259,NA,232,275,NA,142,149,29,52431
"29","New Hampshire",232,275,295,245,294,161,165,165,7,70303
"30","New Jersey",229,271,292,248,293,159,155,156,4,72222
"31","New Mexico",207,253,NA,230,271,NA,143,143,45,45382
"32","New York",223,263,NA,236,280,NA,150,150,15,60850
"33","North Carolina",226,261,NA,241,281,NA,154,150,41,47830
"34","North Dakota",225,267,NA,244,288,NA,161,161,16,60557
"35","Ohio",225,266,NA,241,285,NA,157,157,34,51075
"36","Oklahoma",222,263,NA,237,275,NA,153,151,39,48568
"37","Oregon",220,268,NA,233,283,NA,153,156,26,54148
"38","Pennsylvania",227,269,NA,242,284,NA,NA,NA,21,55702
"39","Rhode Island",225,265,NA,238,281,NA,152,151,19,58073
"40","South Carolina",218,260,NA,234,276,NA,155,151,43,47238
"41","South Dakota",220,267,292,242,285,159,157,160,28,53017
"42","Tennessee",219,265,282,237,278,145,157,156,42,47275
"43","Texas",218,261,NA,241,284,NA,155,156,22,55653
"44","Utah",226,269,NA,242,286,NA,160,166,13,62912
"45","Vermont",230,274,NA,241,290,NA,163,163,20,56990
"46","Virginia",229,267,NA,248,288,NA,165,160,8,66262
"47","Washington",226,267,NA,242,287,NA,158,157,10,64129
"48","West Virginia",216,260,280,236,271,145,151,150,48,42019
"49","Wisconsin",223,270,NA,240,289,NA,156,159,23,55638
"50","Wyoming",228,269,NA,248,287,NA,161,160,17,60214
